:START_ID,:END_ID,:TYPE
NCT02988635,COND:NON-SMALL_CELL_LUNG_CANCER,STUDIES_CONDITION
NCT02988635,COND:GASTRIC_CANCER,STUDIES_CONDITION
NCT02988635,COND:PANCREATIC_CANCER,STUDIES_CONDITION
NCT02988635,COND:BILIARY_TRACT_CANCER,STUDIES_CONDITION
NCT02979535,COND:DENGUE_FEVER,STUDIES_CONDITION
NCT02979535,COND:DENGUE_HEMORRHAGIC_FEVER,STUDIES_CONDITION
NCT02979535,COND:HUMAN_PAPILLOMAVIRUS_DISEASE,STUDIES_CONDITION
NCT01036035,COND:INCONTINENCE,STUDIES_CONDITION
NCT04197635,COND:HEART_FAILURE_WITH_REDUCED_EJECTION_FRACTION,STUDIES_CONDITION
NCT00022035,COND:INFECTION,STUDIES_CONDITION
NCT00022035,COND:LEUKEMIA,STUDIES_CONDITION
NCT00159835,COND:CARDIOVASCULAR_DISEASES,STUDIES_CONDITION
NCT04440735,COND:ADVANCED_SOLID_TUMOR,STUDIES_CONDITION
NCT04440735,COND:NON_SMALL_CELL_LUNG_CANCER,STUDIES_CONDITION
NCT04440735,COND:COLORECTAL_CANCER,STUDIES_CONDITION
NCT02584335,COND:WOUNDS,STUDIES_CONDITION
NCT02584335,COND:LOCAL_ANESTHESIA,STUDIES_CONDITION
NCT01615835,COND:CONGESTIVE_HEART_FAILURE,STUDIES_CONDITION
NCT03481335,"COND:DIABETES_MELLITUS,_TYPE_2",STUDIES_CONDITION
NCT03481335,COND:HYPERTENSION,STUDIES_CONDITION
NCT03665935,COND:MYELOPATHY,STUDIES_CONDITION
NCT03470935,COND:BREAST_CANCER_FEMALE,STUDIES_CONDITION
NCT02784535,COND:NEUROGENIC_ORTHOSTATIC_HYPOTENSION,STUDIES_CONDITION
NCT04312035,COND:OSTEO_ARTHRITIS_KNEE,STUDIES_CONDITION
NCT03686735,COND:ALL_ORTHOPEDIC_DISORDERS,STUDIES_CONDITION
NCT03686735,COND:NEW_OR_FOLLOW-UP_PATIENTS,STUDIES_CONDITION
NCT04473235,COND:MEMORY_IMPAIRMENT,STUDIES_CONDITION
NCT02004535,COND:HEARING_LOSS,STUDIES_CONDITION
NCT04747535,COND:ABDOMINAL_SURGERY,STUDIES_CONDITION
NCT04747535,COND:CONTINUOUS_POSITIVE_AIRWAY_PRESSURE,STUDIES_CONDITION
NCT04747535,COND:LUNG_FUNCTION,STUDIES_CONDITION
NCT06029335,COND:SYSTEMIC_SCLEROSIS,STUDIES_CONDITION
NCT06029335,COND:SYSTEMIC_LUPUS_ERYTHEMATOSUS,STUDIES_CONDITION
NCT06029335,"COND:MYOPATHIES,_INFLAMMATORY",STUDIES_CONDITION
NCT06029335,COND:RHEUMATOID_ARTHRITIS,STUDIES_CONDITION
NCT06029335,COND:HEALTHY,STUDIES_CONDITION
NCT01813435,COND:CORONARY_ARTERY_DISEASE_(CAD),STUDIES_CONDITION
NCT03352635,COND:TOBACCO_USE,STUDIES_CONDITION
NCT05452135,COND:DUAL_TASK,STUDIES_CONDITION
NCT05452135,COND:DEGLUTİTİON,STUDIES_CONDITION
NCT05452135,COND:COGNİTİVE_FUNCTİON,STUDIES_CONDITION
NCT05452135,COND:ACTİVİTİES_OF_DAİLY_LİVİNG,STUDIES_CONDITION
NCT02345135,COND:ATAXIA_TELANGIECTASIA,STUDIES_CONDITION
NCT02345135,COND:INFECTIONS,STUDIES_CONDITION
NCT02345135,COND:IMMUNODEFICIENCY,STUDIES_CONDITION
NCT02345135,COND:LUNG_DISEASE,STUDIES_CONDITION
NCT06758635,COND:FEAR_OF_FLYING,STUDIES_CONDITION
NCT06031935,COND:ANTERIOR_KNEE_PAIN_SYNDROME,STUDIES_CONDITION
NCT06636435,COND:SOLID_TUMORS,STUDIES_CONDITION
NCT06636435,COND:HEPATOCELLULAR_CARCINOMA_(HCC),STUDIES_CONDITION
NCT06636435,COND:MALIGNANT_MELANOMA,STUDIES_CONDITION
NCT06636435,COND:PEDIATRIC_CANCER,STUDIES_CONDITION
NCT01825135,COND:MUSCLE_WEAKNESS,STUDIES_CONDITION
NCT05706935,COND:RESPIRATORY_INFECTION,STUDIES_CONDITION
NCT05706935,COND:RESPIRATORY_INFECTIONS_IN_OLD_AGE,STUDIES_CONDITION
NCT05706935,COND:RESPIRATORY_INFECTION_VIRUS,STUDIES_CONDITION
NCT05706935,COND:RESPIRATORY_INFECTION_BACTERIAL,STUDIES_CONDITION
NCT01881035,COND:HYPERTENSION_SECONDARY_TO_RENAL_DISEASE,STUDIES_CONDITION
NCT00149435,COND:CARDIOVASCULAR_DISEASES,STUDIES_CONDITION
NCT00149435,COND:CORONARY_DISEASE,STUDIES_CONDITION
NCT00149435,COND:CEREBROVASCULAR_ACCIDENT,STUDIES_CONDITION
NCT00149435,COND:DIABETES_MELLITUS,STUDIES_CONDITION
NCT00149435,COND:HEART_DISEASES,STUDIES_CONDITION
NCT00149435,COND:HYPERTENSION,STUDIES_CONDITION
NCT00149435,"COND:HEART_FAILURE,_CONGESTIVE",STUDIES_CONDITION
NCT05021835,COND:CARDIOVASCULAR_RISK,STUDIES_CONDITION
NCT05021835,COND:CHRONIC_KIDNEY_DISEASE,STUDIES_CONDITION
NCT05021835,COND:INFLAMMATION,STUDIES_CONDITION
NCT06595108,COND:ADVANCED_HEPATOCELLULAR_CARCINOMA,STUDIES_CONDITION
NCT06595108,COND:CHEMOTHERAPY,STUDIES_CONDITION
NCT06595108,COND:STEREOTACTIC_BODY_RADIOTHERAPY,STUDIES_CONDITION
NCT05672108,COND:LUNG_NON-SMALL_CELL_CARCINOMA,STUDIES_CONDITION
NCT05672108,COND:MEDIASTINAL_NEOPLASM,STUDIES_CONDITION
NCT05672108,COND:PLEURAL_NEOPLASM,STUDIES_CONDITION
NCT05672108,COND:LUNG_METASTASES_FROM_ANY_PRIMARY,STUDIES_CONDITION
NCT05672108,COND:ENDOBRONCHIAL_METASTASES,STUDIES_CONDITION
NCT05672108,COND:COLON_CANCER,STUDIES_CONDITION
NCT05672108,COND:SARCOMA,STUDIES_CONDITION
NCT03112408,COND:CEREBELLUM_DISEASE,STUDIES_CONDITION
NCT03554408,COND:HUMAN_IMMUNODEFICIENCY_VIRUS,STUDIES_CONDITION
NCT02791308,COND:ATOPIC_DERMATITIS,STUDIES_CONDITION
NCT03924908,COND:BURNS,STUDIES_CONDITION
NCT03924908,"COND:PAIN,_ACUTE",STUDIES_CONDITION
NCT03924908,COND:ANXIETY,STUDIES_CONDITION
NCT04096508,COND:GASTROINTESTINAL_ENDOSCOPIC_PROCEDURES,STUDIES_CONDITION
NCT00440908,COND:END_STAGE_RENAL_DISEASE,STUDIES_CONDITION
NCT00440908,COND:INFLAMMATION,STUDIES_CONDITION
NCT01022008,COND:FACIOCRANIOSYNOSTOSES,STUDIES_CONDITION
NCT04340908,"COND:DIABETES_MELLITUS,_TYPE_2",STUDIES_CONDITION
NCT04340908,COND:CARDIAC_SURGERY,STUDIES_CONDITION
NCT02520908,COND:EPIDERMOTROPIC_T-CELL_LYMPHOMAS,STUDIES_CONDITION
NCT07147608,COND:GENERAL_POPULATION_(NO_SPECIFIC_CONDITION_OR_DISEASE),STUDIES_CONDITION
NCT05336708,COND:INTERVENTIONAL,STUDIES_CONDITION
NCT01548508,COND:CHRONIC_HEART_FAILURE,STUDIES_CONDITION
NCT06193408,COND:CHOLERA,STUDIES_CONDITION
NCT02098408,COND:PATIENTS_AT_ULTRA-HIGH_RISK_OF_PSYCHOSIS,STUDIES_CONDITION
NCT05873608,COND:HEMATOPOIETIC_AND_LYMPHOID_SYSTEM_NEOPLASM,STUDIES_CONDITION
NCT05873608,COND:MALIGNANT_SOLID_NEOPLASM,STUDIES_CONDITION
NCT02544308,COND:PLASMACYTOMA,STUDIES_CONDITION
NCT04561908,COND:HEART_DISEASES,STUDIES_CONDITION
NCT04561908,COND:ATRIAL_SEPTAL_DILATATION,STUDIES_CONDITION
